teacher_name,teacher_profile_url
Hassan Alkhayuon,https://research.ucc.ie/en/persons/hassan-alkhayuon/
Andreas Amann,https://research.ucc.ie/en/persons/andreas-amann/
Thomas Carroll,https://research.ucc.ie/en/persons/thomas-carroll/
John Condon,https://research.ucc.ie/en/persons/john-condon/
Michael Cronin,https://research.ucc.ie/en/persons/michael-cronin-2/
Linda Daly,https://research.ucc.ie/en/persons/linda-daly/
Spyridon Dendrinos,https://research.ucc.ie/en/persons/spyridon-dendrinos/
David Henry,https://research.ucc.ie/en/persons/david-henry/
Jian Huang,https://research.ucc.ie/en/persons/jian-huang/
Andrew Keane,https://research.ucc.ie/en/persons/andrew-keane/
Conall Kelly,https://research.ucc.ie/en/persons/conall-kelly/
Luke Kelly,https://research.ucc.ie/en/persons/luke-kelly/
Martin Kilian,https://research.ucc.ie/en/persons/martin-kilian/
Claus Michael Koestler,https://research.ucc.ie/en/persons/claus-michael-koestler/
Ben Mckay,https://research.ucc.ie/en/persons/ben-mckay/
Kieran Mulchrone,https://research.ucc.ie/en/persons/kieran-mulchrone/
Conor Murphy,https://research.ucc.ie/en/persons/conor-murphy/
Anca Mustata,https://research.ucc.ie/en/persons/anca-mustata/
Andrei Mustata,https://research.ucc.ie/en/persons/andrei-mustata/
Rabia Naqvi,https://research.ucc.ie/en/persons/rabia-naqvi/
Robert Osburn,https://research.ucc.ie/en/persons/robert-osburn/
Finbarr O'Sullivan,https://research.ucc.ie/en/persons/finbarr-osullivan/
Supratik Roy,https://research.ucc.ie/en/persons/supratik-roy/
Benjamin Taylor,https://research.ucc.ie/en/persons/benjamin-taylor/
Hui Wang,https://research.ucc.ie/en/persons/hui-wang/
Sebastian Wieczorek,https://research.ucc.ie/en/persons/sebastian-wieczorek/
Cillian Williamson,https://research.ucc.ie/en/persons/cillian-williamson/
Stephen Wills,https://research.ucc.ie/en/persons/stephen-wills/
Eric Wolsztynski,https://research.ucc.ie/en/persons/eric-wolsztynski/
Qi Wu,https://research.ucc.ie/en/persons/qi-wu/
Serhiy Yanchuk,https://research.ucc.ie/en/persons/serhiy-yanchuk/
