teacher_name,teacher_profile_url,publication_title,publication_url
Hassan Alkhayuon,https://research.ucc.ie/en/persons/hassan-alkhayuon/,Singular basins in multiscale systems,https://research.ucc.ie/en/publications/singular-basins-in-multiscale-systems/
Hassan Alkhayuon,https://research.ucc.ie/en/persons/hassan-alkhayuon/,The implications of overshooting 1.5 °C on Earth system tipping elements—a review,https://research.ucc.ie/en/publications/the-implications-of-overshooting-15-c-on-earth-system-tipping-ele/
Hassan Alkhayuon,https://research.ucc.ie/en/persons/hassan-alkhayuon/,Cancer model with moving extinction threshold reproduces real cancer data,https://research.ucc.ie/en/publications/cancer-model-with-moving-extinction-threshold-reproduces-real-can/
Hassan Alkhayuon,https://research.ucc.ie/en/persons/hassan-alkhayuon/,Pace in concert with phase: rate-induced phase-tipping in birhythmic oscillators,https://research.ucc.ie/en/publications/pace-in-concert-with-phase-rate-induced-phase-tipping-in-birhythm/
Hassan Alkhayuon,https://research.ucc.ie/en/persons/hassan-alkhayuon/,Rate-induced biosphere collapse in the Daisyworld model,https://research.ucc.ie/en/publications/rate-induced-biosphere-collapse-in-the-daisyworld-model/
Hassan Alkhayuon,https://research.ucc.ie/en/persons/hassan-alkhayuon/,Rate-induced tipping in natural and human systems,https://research.ucc.ie/en/publications/rate-induced-tipping-in-natural-and-human-systems/
Hassan Alkhayuon,https://research.ucc.ie/en/persons/hassan-alkhayuon/,"Stochastic resonance, climate variability, and phase-tipping: The increasing risk of extinction in cyclic ecosystems",https://research.ucc.ie/en/publications/stochastic-resonance-climate-variability-and-phase-tipping-the-in/
Hassan Alkhayuon,https://research.ucc.ie/en/persons/hassan-alkhayuon/,Stochastic resonance in climate reddening increases the risk of cyclic ecosystem extinction via phase-tipping,https://research.ucc.ie/en/publications/stochastic-resonance-in-climate-reddening-increases-the-risk-of-c/
Hassan Alkhayuon,https://research.ucc.ie/en/persons/hassan-alkhayuon/,When to Expect Rate-Induced Tipping in Natural and Human Systems,https://research.ucc.ie/en/publications/when-to-expect-rate-induced-tipping-in-natural-and-human-systems/
Hassan Alkhayuon,https://research.ucc.ie/en/persons/hassan-alkhayuon/,Phase tipping: How cyclic ecosystems respond to contemporary climate,https://research.ucc.ie/en/publications/phase-tipping-how-cyclic-ecosystems-respond-to-contemporary-clima/
Hassan Alkhayuon,https://research.ucc.ie/en/persons/hassan-alkhayuon/,Weak tracking in nonautonomous chaotic systems,https://research.ucc.ie/en/publications/weak-tracking-in-nonautonomous-chaotic-systems/
Hassan Alkhayuon,https://research.ucc.ie/en/persons/hassan-alkhayuon/,"Basin bifurcations, oscillatory instability and rate-induced thresholds for Atlantic meridional overturning circulation in a global oceanic box model",https://research.ucc.ie/en/publications/basin-bifurcations-oscillatory-instability-and-rate-induced-thres/
Hassan Alkhayuon,https://research.ucc.ie/en/persons/hassan-alkhayuon/,Rate-induced tipping from periodic attractors: Partial tipping and connecting orbits,https://research.ucc.ie/en/publications/rate-induced-tipping-from-periodic-attractors-partial-tipping-and/
Andreas Amann,https://research.ucc.ie/en/persons/andreas-amann/,A new approach to fundamental electricity market modelling: Exploring market dynamics and speculator influence,https://research.ucc.ie/en/publications/a-new-approach-to-fundamental-electricity-market-modelling-explor/
Andreas Amann,https://research.ucc.ie/en/persons/andreas-amann/,Signature of coupling of potentials in non-linear energy harvesters with enhanced figure of merit,https://research.ucc.ie/en/publications/signature-of-coupling-of-potentials-in-non-linear-energy-harveste/
Andreas Amann,https://research.ucc.ie/en/persons/andreas-amann/,Speculators and Price Inertia in a Day-Ahead Electricity Market: An Irish Case Study,https://research.ucc.ie/en/publications/speculators-and-price-inertia-in-a-day-ahead-electricity-market-a/
Andreas Amann,https://research.ucc.ie/en/persons/andreas-amann/,Dynamics of an Electronic Relay Systems with Bandpass Filtered Feedback,https://research.ucc.ie/en/publications/dynamics-ofanelectronic-relay-systems-withbandpass-filtered-feedb/
Andreas Amann,https://research.ucc.ie/en/persons/andreas-amann/,Dynamics of a time-delayed relay system,https://research.ucc.ie/en/publications/dynamics-of-a-time-delayed-relay-system/
Andreas Amann,https://research.ucc.ie/en/persons/andreas-amann/,Exploring the origins of switching dynamics in a multifunctional reservoir computer,https://research.ucc.ie/en/publications/exploring-the-origins-of-switching-dynamics-in-a-multifunctional/
Andreas Amann,https://research.ucc.ie/en/persons/andreas-amann/,Synchronization cluster bursting in adaptive oscillator networks,https://research.ucc.ie/en/publications/synchronization-cluster-bursting-in-adaptive-oscillator-networks/
